tradeno,tradedate,tradetime,secid,price,quantity,value,buysell,tradingsession
1,06.03.2008,9:39,ROSN,3132.13,1766,5531341.58,B,1
2,15.03.2014,22:01,ROSN,1376.52,1202,1654577.04,B,1
3,18.01.2015,16:38,ROSN,147.99,1389,205558.11,S,1
4,03.05.2002,21:41,ROSN,1322.87,1077,1424730.99,S,1
5,30.07.2012,0:18,ROSN,4064.77,389,1581195.53,S,1
6,17.06.2022,5:38,ROSN,1399.96,1368,1915145.28,S,1
7,31.03.2013,23:04,ROSN,3835.36,1335,5120205.6,B,1
8,07.03.2017,7:58,ROSN,3196.54,623,1991444.42,S,1
9,17.03.2022,18:53,ROSN,1710.32,528,903048.96,B,1
10,15.01.2019,3:47,ROSN,3130.16,786,2460305.76,B,1
11,16.03.2019,19:26,ROSN,81.12,865,70168.8,B,1
12,14.02.2018,17:26,ROSN,3535.26,405,1431780.3,S,1
13,14.10.2010,9:21,ROSN,4428.76,1864,8255208.64,B,1
14,08.10.2022,3:05,ROSN,864.96,1716,1484271.36,B,1
15,19.03.2018,7:41,ROSN,3905.59,1230,4803875.7,B,1
16,18.05.2002,12:38,ROSN,3802.25,1096,4167266.0,S,1
17,06.05.2017,11:14,ROSN,2009.09,1313,2637935.17,S,1
18,08.06.2014,11:33,ROSN,21.19,1225,25957.75,S,1
19,22.02.2009,1:14,ROSN,97.99,1634,160115.66,S,1
20,22.12.2004,16:00,ROSN,2904.83,1957,5684752.31,S,1
21,28.02.2001,22:57,ROSN,160.51,906,145422.06,S,1
22,13.06.2014,18:58,ROSN,2591.55,492,1275042.6,S,1
23,16.11.2005,22:44,ROSN,4841.61,1296,6274726.56,B,1
24,11.07.2022,8:50,ROSN,2106.06,1110,2337726.6,S,1
25,04.05.2001,21:34,ROSN,4069.18,1754,7137341.72,B,1
26,25.01.2021,19:38,ROSN,1910.38,1394,2663069.72,S,1
27,10.11.2021,11:59,ROSN,4122.36,1601,6599898.36,S,1
28,20.12.2017,14:45,ROSN,1780.3,1988,3539236.4,S,1
29,06.07.2010,0:18,ROSN,4139.76,589,2438318.64,S,1
30,06.12.2017,6:15,ROSN,1339.74,694,929779.56,S,1
31,17.03.2021,1:04,ROSN,2153.73,437,941180.01,B,1
32,26.05.2016,2:16,ROSN,4981.53,977,4866954.81,B,1
33,16.01.2017,4:10,ROSN,1281.93,1563,2003656.59,S,1
34,11.02.2016,16:06,ROSN,2155.53,1032,2224506.96,B,1
35,19.08.2018,4:49,ROSN,2764.27,685,1893524.95,S,1
36,07.03.2006,17:51,ROSN,783.09,218,170713.62,B,1
